name,position,points,rank
Jason Myers,K,138.222714669,201
Khalil Herbert,RB,168.08606555799997,101
Michael Thomas,WR,163.54819951200002,114
Tua Tagovailoa,QB,257.290313508,127
Brian Robinson Jr.,RB,150.68010689,105
Dolphins D/ST,ST,128.76141704399998,185
Jamaal Williams,RB,137.42608717800002,134
Jaxon Smith-Njigba,WR,151.324047772,99
Jordan Addison,WR,167.11443186500003,112
Cole Kmet,TE,136.26979012200002,111
Skyy Moore,WR,168.11990757400002,100
JuJu Smith-Schuster,WR,167.55606189600002,116
Antonio Gibson,RB,150.485324436,106
Dalton Schultz,TE,134.140500794,141
Tyler Higbee,TE,142.848474124,143
Jake Elliott,K,142.41834874699998,203
Zay Flowers,WR,160.543691016,129
Gabe Davis,WR,162.302145896,131
Geno Smith,QB,271.972544498,155
Daniel Jones,QB,269.41838218,123
Jets D/ST,ST,109.97843086700001,189
Jakobi Meyers,WR,173.34862318159998,115
Treylon Burks,WR,176.094998542,113
Samaje Perine,RB,160.04150746,137
Anthony Richardson,QB,237.46454948800005,151
Jerick McKinnon,RB,136.251836762,139
Younghoe Koo,K,134.42169078,207
Raheem Mostert,RB,146.676475522,136
Rashaad Penny,RB,127.53168076800003,138
Quentin Johnston,WR,147.63478281199997,130
Patriots D/ST,ST,106.50526695,190
Ezekiel Elliott,RB,127.64951163000002,164
Adam Thielen,WR,134.657920102,150
Russell Wilson,QB,272.51472816800003,158
Eagles D/ST,ST,95.743188986,359
Rondale Moore,WR,155.620318649,132
Ravens D/ST,ST,92.99505949299999,358
Zach Charbonnet,RB,119.84010758600002,160
Browns D/ST,ST,124.88566972299999,188
Dalton Kincaid,TE,121.36780569599999,167
Darnell Mooney,WR,157.448736569,145
Michael Gallup,WR,156.60462629,149
DJ Chark Jr.,WR,151.784467372,144
Nico Collins,WR,148.326653986,146
Elijah Moore,WR,141.712731136,148
Tyler Boyd,WR,150.56626595800003,172
Devin Singletary,RB,126.65682294000001,161
Matt Gay,K,130.42453149300002,204
Kadarius Toney,WR,114.097221692,171
Elijah Mitchell,RB,118.72187635200002,162
Packers D/ST,ST,109.034017441,193
Allen Lazard,WR,149.99615125,225
Jared Goff,QB,244.46136086,242
Zach Ertz,TE,120.887157702,247
Jaylen Warren,RB,117.74913322600001,165
Commanders D/ST,ST,103.74248353700001,316
Chigoziem Okonkwo,TE,117.41112293299999,168
Jeff Wilson Jr.,RB,115.96909148000002,282
Gerald Everett,TE,121.47403309,178
Tyler Allgeier,RB,116.932262532,166
Kenny Pickett,QB,240.46156560600002,238
K.J. Osborn,WR,139.881312339,173
Deon Jackson,RB,78.44250601200001,217
Matthew Stafford,QB,236.43276341800004,240
Cameron Dicker,K,141.103963578,411
Zay Jones,WR,138.982475907,227
Greg Dulcich,TE,110.134458694,251
Greg Zuerlein,K,135.03666208599998,318
Juwan Johnson,TE,119.33653591399998,175
Derek Carr,QB,237.187740176,312
Bengals D/ST,ST,102.52346211700001,255
Damien Harris,RB,110.89492834800001,212
Sam LaPorta,TE,110.800015592,249
Tank Bigsby,RB,93.48139954400001,223
Panthers D/ST,ST,116.448359598,252
De'Von Achane,RB,78.72804443000001,210
Brock Purdy,QB,218.13367366199998,378
Hunter Renfrow,WR,140.225574488,226
Brandon McManus,K,137.73851281900002,362
Roschon Johnson,RB,52.51220349900001,209
Kenneth Gainwell,RB,87.505520932,215
Gus Edwards,RB,98.015164571,211
Marquez Valdes-Scantling,WR,132.00870568,260
Parris Campbell,WR,104.56655311700001,174
Eddy Pineiro,K,127.617040014,256
Jonathan Mingo,WR,127.83695737800001,231
Jameson Williams,WR,96.4381774932,263
Romeo Doubs,WR,126.37471458399999,235
Bryce Young,QB,205.07589709400003,344
Kyler Murray,QB,177.825399784,307
Chase Claypool,WR,131.58617640900002,232
Tyler Conklin,TE,112.414291882,248
Rashod Bateman,WR,121.043504546,237
Curtis Samuel,WR,137.32069420999997,233
Brett Maher,K,133.04807292499999,505
Van Jefferson,WR,134.817301072,236
Jaguars D/ST,ST,89.443326082,506
D'Onta Foreman,RB,92.265981868,219
Jordan Love,QB,211.78822200399998,380
Jayden Reed,WR,128.94640948,234
Cairo Santos,K,139.294814562,319
Evan Hull,RB,65.42531056600001,218
Jimmy Garoppolo,QB,218.143225412,314
Tyjae Spears,RB,90.304814658,224
Marvin Mims Jr.,WR,115.54563261000001,274
Chuba Hubbard,RB,103.725607216,284
Mike Gesicki,TE,108.341203298,305
Dawson Knox,TE,101.73537443999999,364
Deuce Vaughn,RB,60.42347893,337
Chiefs D/ST,ST,84.13973668199999,426
Joshua Kelley,RB,113.215440806,280
Kyren Williams,RB,92.65042578799999,220
Buccaneers D/ST,ST,105.404228346,317
Rashee Rice,WR,94.032190398,290
Clyde Edwards-Helaire,RB,84.045317358,278
Jerome Ford,RB,109.595932808,275
Sam Howell,QB,223.40237050399998,384
Cordarrelle Patterson,RB,101.96606324400001,286
Kendre Miller,RB,55.176449518,376
Greg Joseph,K,135.734354298,488
Dustin Hopkins,K,136.50470635200003,258
C.J. Stroud,QB,189.833925164,348
Kareem Hunt,RB,0.0,2031
Riley Patterson,K,137.530472814,412
Broncos D/ST,ST,88.51128395100002,427
Seahawks D/ST,ST,82.154947204,410
Jason Sanders,K,133.72476066800002,490
Jalin Hyatt,WR,51.948704342,1000
Zack Moss,RB,79.33868429799999,291
Alec Pierce,WR,117.201138216,269
Isaiah Hodgins,WR,102.69842289600001,266
Irv Smith Jr.,TE,107.57035984599999,350
Luke Musgrave,TE,92.04320037800001,413
Jake Moody,K,134.747164582,363
Taysom Hill,TE,72.2820753902,442
Donovan Peoples-Jones,WR,108.63560050800001,311
Falcons D/ST,ST,98.31484626700001,425
Jake Ferguson,TE,91.073956198,418
Chris Boswell,K,130.704354851,492
Ryan Tannehill,QB,211.36802344200004,342
Titans D/ST,ST,103.31366883999999,409
Marvin Jones Jr.,WR,114.13766971599999,309
Tank Dell,WR,87.94921147000001,330
Mac Jones,QB,221.461296578,386
DeVante Parker,WR,119.037569854,270
Hayden Hurst,TE,106.613427266,353
Mecole Hardman Jr.,WR,113.36600743799998,310
Ty Chandler,RB,87.735683034,294
Michael Mayer,TE,87.51256781000002,416
Hunter Henry,TE,96.630051428,351
John Metchie III,WR,59.72236347,991
Wil Lutz,K,126.027991691,497
Justyn Ross,WR,46.15861236,1006
Noah Fant,TE,102.594880722,366
Baker Mayfield,QB,136.433178414,423
Vikings D/ST,ST,61.97239514400001,516
Jelani Woods,TE,83.346619994,444
Robert Woods,WR,106.16235792,323
Chase Edmonds,RB,85.963816388,298
Desmond Ridder,QB,169.87845567,389
Keaontay Ingram,RB,87.87100534400001,297
Zamir White,RB,56.475562478,372
Nick Folk,K,133.88755631200002,491
